缺陷ID,缺陷标题,严重程度,优先级,缺陷状态,缺陷类型,所属模块,关联用例,描述,复现步骤,实际结果,预期结果,根本原因,建议修复,创建时间,标签
DEF-011,测试失败: GET /api/users - 权限验证,low,P4,new,functional,GET ,TC-API-011,"执行结果: 请求异常: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /api/users (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=8000): Failed to establish a new connection: [Errno 111] Connection refused""))",1. 准备测试环境; 2. 执行测试用例 TC-API-011; 3. 观察测试结果,"请求异常: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /api/users (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=8000): Failed to establish a new connection: [Errno 111] Connection refused""))",按需求正常工作,,,2026-07-23T08:35:01.137151,
DEF-012,测试失败: GET /api/users - 分页,low,P4,new,functional,GET ,TC-API-012,"执行结果: 请求异常: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /api/users?page=1&page_size=10 (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=8000): Failed to establish a new connection: [Errno 111] Connection refused""))",1. 准备测试环境; 2. 执行测试用例 TC-API-012; 3. 观察测试结果,"请求异常: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /api/users?page=1&page_size=10 (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=8000): Failed to establish a new connection: [Errno 111] Connection refused""))",按需求正常工作,,,2026-07-23T08:35:01.137159,
DEF-013,测试失败: POST /api/users - 正常,low,P4,new,functional,POST ,TC-API-013,"执行结果: 请求异常: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /api/users (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=8000): Failed to establish a new connection: [Errno 111] Connection refused""))",1. 准备测试环境; 2. 执行测试用例 TC-API-013; 3. 观察测试结果,"请求异常: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /api/users (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=8000): Failed to establish a new connection: [Errno 111] Connection refused""))",按需求正常工作,,,2026-07-23T08:35:01.137166,
DEF-014,测试失败: POST /api/users - 参数为空,low,P4,new,functional,POST ,TC-API-014,"执行结果: 请求异常: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /api/users (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=8000): Failed to establish a new connection: [Errno 111] Connection refused""))",1. 准备测试环境; 2. 执行测试用例 TC-API-014; 3. 观察测试结果,"请求异常: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /api/users (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=8000): Failed to establish a new connection: [Errno 111] Connection refused""))",按需求正常工作,,,2026-07-23T08:35:01.137174,
DEF-015,测试失败: POST /api/users - 参数错误,low,P4,new,functional,POST ,TC-API-015,"执行结果: 请求异常: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /api/users (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=8000): Failed to establish a new connection: [Errno 111] Connection refused""))",1. 准备测试环境; 2. 执行测试用例 TC-API-015; 3. 观察测试结果,"请求异常: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /api/users (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=8000): Failed to establish a new connection: [Errno 111] Connection refused""))",按需求正常工作,,,2026-07-23T08:35:01.137181,
DEF-016,测试失败: POST /api/users - 权限验证,low,P4,new,functional,POST ,TC-API-016,"执行结果: 请求异常: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /api/users (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=8000): Failed to establish a new connection: [Errno 111] Connection refused""))",1. 准备测试环境; 2. 执行测试用例 TC-API-016; 3. 观察测试结果,"请求异常: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /api/users (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=8000): Failed to establish a new connection: [Errno 111] Connection refused""))",按需求正常工作,,,2026-07-23T08:35:01.137188,
DEF-017,测试失败: GET /api/users/{{id}} - 正常,low,P4,new,functional,GET ,TC-API-017,"执行结果: 请求异常: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /api/users/%7B%7Bid%7D%7D?page=1&page_size=10 (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=8000): Failed to establish a new connection: [Errno 111] Connection refused""))",1. 准备测试环境; 2. 执行测试用例 TC-API-017; 3. 观察测试结果,"请求异常: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /api/users/%7B%7Bid%7D%7D?page=1&page_size=10 (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=8000): Failed to establish a new connection: [Errno 111] Connection refused""))",按需求正常工作,,,2026-07-23T08:35:01.137196,
DEF-018,测试失败: GET /api/users/{{id}} - 无数据,low,P4,new,functional,GET ,TC-API-018,"执行结果: 请求异常: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /api/users/%7B%7Bid%7D%7D?page=1&page_size=10 (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=8000): Failed to establish a new connection: [Errno 111] Connection refused""))",1. 准备测试环境; 2. 执行测试用例 TC-API-018; 3. 观察测试结果,"请求异常: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /api/users/%7B%7Bid%7D%7D?page=1&page_size=10 (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=8000): Failed to establish a new connection: [Errno 111] Connection refused""))",按需求正常工作,,,2026-07-23T08:35:01.137204,
DEF-019,测试失败: GET /api/users/{{id}} - 权限验证,low,P4,new,functional,GET ,TC-API-019,"执行结果: 请求异常: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /api/users/%7B%7Bid%7D%7D (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=8000): Failed to establish a new connection: [Errno 111] Connection refused""))",1. 准备测试环境; 2. 执行测试用例 TC-API-019; 3. 观察测试结果,"请求异常: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /api/users/%7B%7Bid%7D%7D (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=8000): Failed to establish a new connection: [Errno 111] Connection refused""))",按需求正常工作,,,2026-07-23T08:35:01.137215,
DEF-020,测试失败: GET /api/users/{{id}} - 分页,low,P4,new,functional,GET ,TC-API-020,"执行结果: 请求异常: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /api/users/%7B%7Bid%7D%7D?page=1&page_size=10 (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=8000): Failed to establish a new connection: [Errno 111] Connection refused""))",1. 准备测试环境; 2. 执行测试用例 TC-API-020; 3. 观察测试结果,"请求异常: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /api/users/%7B%7Bid%7D%7D?page=1&page_size=10 (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=8000): Failed to establish a new connection: [Errno 111] Connection refused""))",按需求正常工作,,,2026-07-23T08:35:01.137223,
DEF-021,测试失败: PUT /api/users/{{id}} - 正常,low,P4,new,functional,PUT ,TC-API-021,"执行结果: 请求异常: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /api/users/%7B%7Bid%7D%7D (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=8000): Failed to establish a new connection: [Errno 111] Connection refused""))",1. 准备测试环境; 2. 执行测试用例 TC-API-021; 3. 观察测试结果,"请求异常: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /api/users/%7B%7Bid%7D%7D (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=8000): Failed to establish a new connection: [Errno 111] Connection refused""))",按需求正常工作,,,2026-07-23T08:35:01.137230,
DEF-022,测试失败: PUT /api/users/{{id}} - 不存在,low,P4,new,functional,PUT ,TC-API-022,"执行结果: 请求异常: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /api/users/%7B%7Bid%7D%7D (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=8000): Failed to establish a new connection: [Errno 111] Connection refused""))",1. 准备测试环境; 2. 执行测试用例 TC-API-022; 3. 观察测试结果,"请求异常: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /api/users/%7B%7Bid%7D%7D (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=8000): Failed to establish a new connection: [Errno 111] Connection refused""))",按需求正常工作,,,2026-07-23T08:35:01.137237,
DEF-023,测试失败: PUT /api/users/{{id}} - 参数错误,low,P4,new,functional,PUT ,TC-API-023,"执行结果: 请求异常: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /api/users/%7B%7Bid%7D%7D (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=8000): Failed to establish a new connection: [Errno 111] Connection refused""))",1. 准备测试环境; 2. 执行测试用例 TC-API-023; 3. 观察测试结果,"请求异常: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /api/users/%7B%7Bid%7D%7D (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=8000): Failed to establish a new connection: [Errno 111] Connection refused""))",按需求正常工作,,,2026-07-23T08:35:01.137245,
DEF-024,测试失败: PUT /api/users/{{id}} - 权限验证,low,P4,new,functional,PUT ,TC-API-024,"执行结果: 请求异常: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /api/users/%7B%7Bid%7D%7D (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=8000): Failed to establish a new connection: [Errno 111] Connection refused""))",1. 准备测试环境; 2. 执行测试用例 TC-API-024; 3. 观察测试结果,"请求异常: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /api/users/%7B%7Bid%7D%7D (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=8000): Failed to establish a new connection: [Errno 111] Connection refused""))",按需求正常工作,,,2026-07-23T08:35:01.137252,
DEF-025,测试失败: DELETE /api/users/{{id}} - 正常,critical,P1,new,functional,DELETE ,TC-API-025,"执行结果: 请求异常: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /api/users/%7B%7Bid%7D%7D (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=8000): Failed to establish a new connection: [Errno 111] Connection refused""))",1. 准备测试环境; 2. 执行测试用例 TC-API-025; 3. 观察测试结果,"请求异常: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /api/users/%7B%7Bid%7D%7D (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=8000): Failed to establish a new connection: [Errno 111] Connection refused""))",按需求正常工作,,,2026-07-23T08:35:01.137259,
DEF-026,测试失败: DELETE /api/users/{{id}} - 不存在,critical,P1,new,functional,DELETE ,TC-API-026,"执行结果: 请求异常: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /api/users/%7B%7Bid%7D%7D (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=8000): Failed to establish a new connection: [Errno 111] Connection refused""))",1. 准备测试环境; 2. 执行测试用例 TC-API-026; 3. 观察测试结果,"请求异常: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /api/users/%7B%7Bid%7D%7D (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=8000): Failed to establish a new connection: [Errno 111] Connection refused""))",按需求正常工作,,,2026-07-23T08:35:01.137266,
DEF-027,测试失败: DELETE /api/users/{{id}} - 权限验证,critical,P1,new,functional,DELETE ,TC-API-027,"执行结果: 请求异常: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /api/users/%7B%7Bid%7D%7D (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=8000): Failed to establish a new connection: [Errno 111] Connection refused""))",1. 准备测试环境; 2. 执行测试用例 TC-API-027; 3. 观察测试结果,"请求异常: HTTPConnectionPool(host='localhost', port=8000): Max retries exceeded with url: /api/users/%7B%7Bid%7D%7D (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=8000): Failed to establish a new connection: [Errno 111] Connection refused""))",按需求正常工作,,,2026-07-23T08:35:01.137275,
DEF-SYS-001,POST  模块存在系统性缺陷,high,P2,new,systemic,POST ,N/A,检测到 POST  模块存在 12 个相关缺陷，可能存在系统性问题,执行 POST  相关测试; 观察多个测试失败; 分析失败模式,多个测试失败,所有测试通过,需要进一步分析,建议进行代码审查,2026-07-23T08:35:01.137325,"systemic, POST "
DEF-SYS-002,GET  模块存在系统性缺陷,high,P2,new,systemic,GET ,N/A,检测到 GET  模块存在 8 个相关缺陷，可能存在系统性问题,执行 GET  相关测试; 观察多个测试失败; 分析失败模式,多个测试失败,所有测试通过,需要进一步分析,建议进行代码审查,2026-07-23T08:35:01.137338,"systemic, GET "
DEF-SYS-003,PUT  模块存在系统性缺陷,high,P2,new,systemic,PUT ,N/A,检测到 PUT  模块存在 4 个相关缺陷，可能存在系统性问题,执行 PUT  相关测试; 观察多个测试失败; 分析失败模式,多个测试失败,所有测试通过,需要进一步分析,建议进行代码审查,2026-07-23T08:35:01.137347,"systemic, PUT "
